X,Y,Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr,ul
-641105.541700002,-1043589.252,100,"Hradecká 1690, Hradec Králové 50012",49621173,BENU,BENU Lékárna,Hradecká 1690/2a,50012,Hradec Králové,,,2015,"Hradecká 1690, Hradec Králové 50012",Hradecká
-641007.6043,-1044125.0894,NA,,48631442,,Pohotovoství lékárna,Hradecká 1690,50011,Hradec Králové,Hradec Králové,Východní Čechy,1999,"Hradecká 1690, Hradec Králové 50011",Hradecká
-640346.8301,-1040599.0911,100,"K Sokolovně 309, Hradec Králové 50341",25839136,Plzeňská lékárna,Lékárna Věkoše,K Sokolovně 309,50341,Hradec Králové,,,2015,"K Sokolovně 309, Hradec Králové 50341",K
-640346.8301,-1040599.0911,100,"K Sokolovně 309, Hradec Králové 50341",64256634,,"Lékárna Věkoše - 3MM, s.r.o.",K sokolovně 309,50341,Hradec Králové,Hradec Králové,Východní Čechy,1999,"K sokolovně 309, Hradec Králové 50341",K
-641688.260499999,-1041790.0902,91.43,"třída Karla IV. 468, Hradec Králové 50002",26230071,Dr.Max,Dr.Max LÉKÁRNA,Karla IV. 468,50002,Hradec Králové,,,2015,"Karla IV. 468, Hradec Králové 50002",Karla
-641688.260499999,-1041790.0902,91.43,"třída Karla IV. 468, Hradec Králové 50002",48951102,,"Lékárna DONNA, s.r.o.",Karla IV. 468,50002,Hradec Králové,Hradec Králové,Východní Čechy,1999,"Karla IV. 468, Hradec Králové 50002",Karla
-640312.2119,-1042034.6204,100,"Pospíšilova 390, Hradec Králové 50003",49621173,BENU,BENU Lékárna,Pospíšilova 390,50003,Hradec Králové,,,2015,"Pospíšilova 390, Hradec Králové 50003",Pospíšilova
-640311.860800002,-1042034.8377,NA,,63605163,,Lékárna,Pospíšilova 390,50002,Hradec Králové,Hradec Králové,Východní Čechy,1999,"Pospíšilova 390, Hradec Králové 50002",Pospíšilova
-701837.377900001,-962506.993999999,100,"Revoluční 106, Hrádek nad Nisou 46334",49621173,BENU,BENU Lékárna,Revoluční 106,46334,Hrádek nad Nisou,,,2015,"Revoluční 106, Hrádek nad Nisou 46334",Revoluční
-701837.377900001,-962506.993999999,100,"Revoluční 106, Hrádek nad Nisou 46334",49108492,,Lékárna Alfa,Revoluční 106,46334,Hrádek nad Nisou,Liberec,Severní Čechy,1999,"Revoluční 106, Hrádek nad Nisou 46334",Revoluční
-680734.5,-979917.702100001,100,"Dolní náměstí 594, Jablonec nad Nisou 46601",49621173,BENU,BENU Lékárna,Dolní náměstí 594/14,46601,Jablonec nad Nisou,,,2015,"Dolní náměstí 594, Jablonec nad Nisou 46601",Dolní
-680734.5,-979917.702100001,100,"Dolní náměstí 14, Jablonec nad Nisou 46601",65103408,,Lékárna Na náměstí,Dolní náměstí 14,46601,Jablonec nad Nisou,Jablonec n/N,Severní Čechy,1999,"Dolní náměstí 14, Jablonec nad Nisou 46601",Dolní
-681120.469300002,-979613.703000002,100,"Liberecká 801, Jablonec nad Nisou 46601",49621173,BENU,BENU Lékárna,Liberecká 801/20,46601,Jablonec nad Nisou,,,2015,"Liberecká 801, Jablonec nad Nisou 46601",Liberecká
-681120.469300002,-979613.703000002,100,"Liberecká 20, Jablonec nad Nisou 46601",65103394,,Lékárna Profarma,Liberecká 20,46601,Jablonec nad Nisou,Jablonec n/N,Severní Čechy,1999,"Liberecká 20, Jablonec nad Nisou 46601",Liberecká
-438419.4936,-1133288.2979,100,"Školní 474, Jablunkov 73991",26230071,Dr.Max,Dr.Max LÉKÁRNA,Školní 474,73991,Jablunkov,,,2015,"Školní 474, Jablunkov 73991",Školní
-438419.4936,-1133288.2979,100,"Školní 474, Jablunkov 73991",15405991,,Lékárna U polikliniky,Školní 474,73991,Jablunkov,Frýdek-Místek,Severní Morava,1999,"Školní 474, Jablunkov 73991",Školní
-671570.057799999,-1013271.5844,100,"Husova 64, Jičín 50601",49621173,BENU,BENU Lékárna,Husova 64,50601,Jičín,,,2015,"Husova 64, Jičín 50601",Husova
-671570.057799999,-1013271.5844,100,"Husova 64, Jičín 50601",25296451,,"Lékárna Na Husovce, ZEA, s.r.o.",Husova 64,50601,Jičín,Jičín,Východní Čechy,1999,"Husova 64, Jičín 50601",Husova
-670380.127700001,-1129833.7452,100,"Vrchlického 57, Jihlava 58601",26230071,Dr.Max,Dr.Max LÉKÁRNA,Vrchlického 57,58601,Jihlava,,,2015,"Vrchlického 57, Jihlava 58601",Vrchlického
-670380.127700001,-1129833.7452,100,"Vrchlického 57, Jihlava 58601",61737704,,Lékárna,Vrchlického 57,58601,Jihlava,Jihlava,Jižní Morava,1999,"Vrchlického 57, Jihlava 58601",Vrchlického
-715010.229499999,-1152310.5985,100,"Klášterská 72, Jindřichův Hradec 37701",49621173,BENU,BENU Lékárna,Klášterská 72/II,37701,Jindřichův Hradec,,,2015,"Klášterská 72, Jindřichův Hradec 37701",Klášterská
-715010.229499999,-1152310.5985,100,"Klášterská 72, Jindřichův Hradec 37701",64580768,Červený bod,"Lék. V Klášterské, Červený bod, s.r.o.",Klášterská 72,37701,Jindřichův Hradec,Jindřichův Hradec,Jižní Čechy,1999,"Klášterská 72, Jindřichův Hradec 37701",Klášterská
-757970.538600001,-1192272.1773,100,"Náměstí 44, Kaplice 38241",26230071,Dr.Max,Dr.Max LÉKÁRNA,Náměstí 44,38241,Kaplice,,,2015,"Náměstí 44, Kaplice 38241",Náměstí
-757970.538600001,-1192272.1773,100,"Náměstí 44, Kaplice 38241",46621873,,Lékárna,Náměstí 44,38241,Kaplice,Český Krumlov,Jižní Čechy,1999,"Náměstí 44, Kaplice 38241",Náměstí
-850420.994600002,-1010265.0014,100,"Sedlecká 761, Karlovy Vary 36010",25839136,Plzeňská lékárna,Na růžovém vrchu,Sedlecká 761/5,36010,Karlovy Vary,,,2015,"Sedlecká 761, Karlovy Vary 36010",Sedlecká
-850420.1393,-1010262.7991,NA,,49753916,,Lékárna Galenus,Sedlecká 5,36001,Karlovy Vary,Karlovy Vary,Západní Čechy,1999,"Sedlecká 5, Karlovy Vary 36001",Sedlecká
-825529.4397,-997229.9003,100,"Sadová 528, Klášterec nad Ohří 43151",26230071,Dr.Max,Dr.Max LÉKÁRNA,Sadová 528,43151,Klášterec nad Ohří,,,2015,"Sadová 528, Klášterec nad Ohří 43151",Sadová
-825529.4397,-997229.9003,100,"Sadová 528, Klášterec nad Ohří 43151",46790721,,Lékárna U Panny Marie Pomocné,Sadová 528,43151,Klášterec nad Ohří,Chomutov,Severní Čechy,1999,"Sadová 528, Klášterec nad Ohří 43151",Sadová
-834775.534899998,-1106907.677,100,"Nádražní 843, Klatovy 33901",26230071,Dr.Max,Dr.Max LÉKÁRNA,Nádražní 843/III,33901,Klatovy,,,2015,"Nádražní 843, Klatovy 33901",Nádražní
-834775.534899998,-1106907.677,100,"Nádražní 843, Klatovy 33901",63509580,,"Klatovské zdraví, s.r.o., lékárna",Nádražní 843,33901,Klatovy,Klatovy,Západní Čechy,1999,"Nádražní 843, Klatovy 33901",Nádražní
-687802.435899999,-1093945.3777,100,"Habrecká 450, Ledeč nad Sázavou 58401",26230071,Dr.Max,Dr.Max LÉKÁRNA,Habrecká 450,58401,Ledeč nad Sázavou,,,2015,"Habrecká 450, Ledeč nad Sázavou 58401",Habrecká
-687802.435899999,-1093945.3777,100,"Habrecká 450, Ledeč nad Sázavou 58401",45949891,,Lékárna MEDIA,Habrecká 450,58401,Ledeč nad Sázavou,Havlíčkův Brod,Východní Čechy,1999,"Habrecká 450, Ledeč nad Sázavou 58401",Habrecká
-756725.444899999,-990513.151000001,100,"U Katovny 2023, Litoměřice 41201",25839136,Plzeňská lékárna,U Katovny,U Katovny 2023/1,41201,Litoměřice,,,2015,"U Katovny 2023, Litoměřice 41201",U
-756725.444899999,-990513.151000001,100,"U Katovny 1, Litoměřice 41201",62769685,,Lékárna U katovny,U katovny 1,41201,Litoměřice,Litoměřice,Severní Čechy,1999,"U katovny 1, Litoměřice 41201",U
-611311.975699998,-1083620.3786,100,"Smetanovo náměstí 122, Litomyšl 57001",49621173,BENU,BENU Lékárna,Smetanovo náměstí 122,57001,Litomyšl,,,2015,"Smetanovo náměstí 122, Litomyšl 57001",Smetanovo
-611312.4098,-1083621.0558,NA,,47490403,,Lékárna U anděla strážce,Smetanovo nám. 122,57001,Litomyšl,Svitavy,Východní Čechy,1999,"Smetanovo nám. 122, Litomyšl 57001",Smetanovo
-791573.297499999,-978185.122000001,100,"Žižkova 151, Litvínov 43601",49621173,BENU,BENU Lékárna,Žižkova 151,43601,Litvínov,,,2015,"Žižkova 151, Litvínov 43601",Žižkova
-791573.297499999,-978185.122000001,100,"Žižkova 151, Litvínov 43601",63145537,,"Lékárna DELTA, s.r.o.",Žižkova 151,43601,Litvínov,Most,Severní Čechy,1999,"Žižkova 151, Litvínov 43601",Žižkova
-711374.127700001,-1034634.1345,100,"Masarykova 1102, Lysá nad Labem 28922",26230071,Dr.Max,Dr.Max LÉKÁRNA,Masarykova 1102,28922,Lysá nad Labem,,,2015,"Masarykova 1102, Lysá nad Labem 28922",Masarykova
-711374.127700001,-1034634.1345,100,"Masarykova 1102, Lysá nad Labem 28922",49688596,INPHARMA,Lékárna U výstaviště,Masarykova 1102,28922,Lysá nad Labem,Nymburk,Střední Čechy,1999,"Masarykova 1102, Lysá nad Labem 28922",Masarykova
-866697.5471,-1038199.5901,100,"Tyršova 243, Mariánské Lázně 35301",49621173,BENU,BENU Lékárna,Tyršova 243/1,35301,Mariánské Lázně,,,2015,"Tyršova 243, Mariánské Lázně 35301",Tyršova
-866697.5471,-1038199.5901,100,"Tyršova 1, Mariánské Lázně 35301",47721740,,Lékárna Alma,Tyršova 1,35301,Mariánské Lázně,Cheb,Západní Čechy,1999,"Tyršova 1, Mariánské Lázně 35301",Tyršova
-734379.875399999,-1015059.1402,100,"Pražská 221, Mělník 27601",49621173,BENU,BENU Lékárna,Pražská 221,27601,Mělník,,,2015,"Pražská 221, Mělník 27601",Pražská
-734438.909699999,-1015010.3258,100,"Pražská 528, Mělník 27601",874621,,Ústavní lékárna,Pražská 528,27601,Mělník,Mělník,Střední Čechy,1999,"Pražská 528, Mělník 27601",Pražská
-703314.6382,-1010194.5843,100,"U stadionu 1234, Mladá Boleslav 29301",49621173,BENU,BENU Lékárna,U Stadionu 1234,29301,Mladá Boleslav,,,2015,"U Stadionu 1234, Mladá Boleslav 29301",U
-703314.6382,-1010194.5843,100,"U stadionu 1234, Mladá Boleslav 29301",25075195,,Lékárna VERA,U stadionu 1234,29301,Mladá Boleslav,Mladá Boleslav,Střední Čechy,1999,"U stadionu 1234, Mladá Boleslav 29301",U
-791579.588,-989856.5557,88,"tř. Budovatelů 1877, Most 43401",26230071,Dr.Max,Dr.Max LÉKÁRNA,Budovatelů 1877,43401,Most,,,2015,"Budovatelů 1877, Most 43401",Budovatelů
-791579.588,-989856.5557,88,"tř. Budovatelů 1877, Most 43401",61537535,,"Lékárna Rozkvět - LAMED, s.r.o.",Budovatelů 1877,43401,Most,Most,Severní Čechy,1999,"Budovatelů 1877, Most 43401",Budovatelů
-811331.9375,-1100124.7454,90,"Na Vinici III. 487, Nepomuk 33501",26230071,Dr.Max,Dr.Max LÉKÁRNA,Na Vinici 487,33501,Nepomuk,,,2015,"Na Vinici 487, Nepomuk 33501",Na
-811331.9375,-1100124.7454,90,"Na Vinici III. 487, Nepomuk 33501",25216791,,"Lékárna Devětsil, JST, s.r.o.",Na Vinici 487,33501,Nepomuk,Plzeň-jih,Západní Čechy,1999,"Na Vinici 487, Nepomuk 33501",Na
-659310.014199998,-1008300.8244,100,"Kotíkova 1817, Nová Paka 50901",49621173,BENU,BENU Lékárna,Kotíkova 1817,50901,Nová Paka,,,2015,"Kotíkova 1817, Nová Paka 50901",Kotíkova
-659310.014199998,-1008300.8244,100,"Kotíkova 1817, Nová Paka 50901",25296451,,"Lékárna Rokytka, ZEA, s.r.o.",Kotíkova 1817,50901,Nová Paka,Jičín,Východní Čechy,1999,"Kotíkova 1817, Nová Paka 50901",Kotíkova
-723346.999699999,-970213.000399999,100,"Dvořákova 385, Nový Bor 47301",26230071,Dr.Max,Dr.Max LÉKÁRNA,Dvořákova 385,47301,Nový Bor,,,2015,"Dvořákova 385, Nový Bor 47301",Dvořákova
-723346.999699999,-970213.000399999,100,"Dvořákova 385, Nový Bor 47301",48287423,,Lužická lékárna,Dvořákova 385,47301,Nový Bor,Česká Lípa,Severní Čechy,1999,"Dvořákova 385, Nový Bor 47301",Dvořákova
-835148.999600001,-1071674.0019,100,"Masarykovo náměstí 516, Nýřany 33023",49621173,BENU,BENU Lékárna,Masarykovo náměstí 516,33023,Nýřany,,,2015,"Masarykovo náměstí 516, Nýřany 33023",Masarykovo
-835148.999600001,-1071674.0019,100,"Masarykovo náměstí 516, Nýřany 33023",44651244,,Lékárna U zlatého hada,Masarykovo náměstí 516,33023,Nýřany,Plzeň-sever,Západní Čechy,1999,"Masarykovo náměstí 516, Nýřany 33023",Masarykovo
-496810.240499999,-1087658.0849,100,"Horní náměstí 145, Opava 74601",49621173,BENU,BENU Lékárna,Horní náměstí 145/35,74601,Opava,,,2015,"Horní náměstí 145, Opava 74601",Horní
-496800.191,-1087712.3851,97,"Horní náměstí 382, Opava 74601",61611913,,Lékárna,Horní náměstí 32,74601,Opava,Opava,Severní Morava,1999,"Horní náměstí 32, Opava 74601",Horní
-844027.286200002,-1003291.0939,100,"Hroznětínská 350, Ostrov 36301",49621173,BENU,BENU Lékárna,Hroznětínská 350,36301,Ostrov,,,2015,"Hroznětínská 350, Ostrov 36301",Hroznětínská
-844027.286200002,-1003291.0939,100,"Hroznětínská 350, Ostrov 36301",49213733,,Prodejna zdravotnických potřeb,Hroznětínská 350,36301,Ostrov,Karlovy Vary,Západní Čechy,1999,"Hroznětínská 350, Ostrov 36301",Hroznětínská
-843475.5264,-1003436.7736,100,"Lidická 1286, Ostrov 36301",49621173,BENU,BENU Lékárna,Lidická 1286,36301,Ostrov,,,2015,"Lidická 1286, Ostrov 36301",Lidická
-843475.5264,-1003436.7736,100,"Lidická 1286, Ostrov 36301",49752618,,Lékárna Pinie,Lidická 1286,36301,Ostrov,Karlovy Vary,Západní Čechy,1999,"Lidická 1286, Ostrov 36301",Lidická
-695092.436000001,-1122785.1565,100,"Svatovítské náměstí 880, Pelhřimov 39301",49621173,BENU,BENU Lékárna,Svatovítské náměstí 880,39301,Pelhřimov,,,2015,"Svatovítské náměstí 880, Pelhřimov 39301",Svatovítské
-695092.436000001,-1122785.1565,100,"Svatovítské náměstí 880, Pelhřimov 39301",49029673,,Lékárna U sv.Víta,Svatovítské náměstí 880,39301,Pelhřimov,Pelhřimov,Jižní Čechy,1999,"Svatovítské náměstí 880, Pelhřimov 39301",Svatovítské
-822652.566399999,-1068364.0716,100,"Karlovarská 298, Plzeň 30100",25839136,Plzeňská lékárna,DIA lékárna,Karlovarská 298/30,30100,Plzeň,,,2015,"Karlovarská 298, Plzeň 30100",Karlovarská
-822678.391899999,-1068337.0205,NA,,64832481,,"INTEC Pharma, s.r.o., lékárna",Karlovarská tř. 30,30166,Plzeň,Plzeň-město,Západní Čechy,1999,"Karlovarská tř. 30, Plzeň 30166",Karlovarská
-821612.768100001,-1071379.7351,100,"Slovanská 1238, Plzeň 32600",25839136,Plzeňská lékárna,Liliová lékárna,Slovanská 1238/69,32600,Plzeň,,,2015,"Slovanská 1238, Plzeň 32600",Slovanská
-818049.0407,-1069015.3696,NA,,64832481,,"INTEC Pharma, s.r.o., lékárna",Slovanská tř. 69,30151,Plzeň,Plzeň-město,Západní Čechy,1999,"Slovanská tř. 69, Plzeň 30151",Slovanská
-823169.196899999,-1069889.841,100,"Tylova 39, Plzeň 30100",49621173,BENU,BENU Lékárna,Tylova 39/502,30100,Plzeň,,,2015,"Tylova 39, Plzeň 30100",Tylova
-823168.3829,-1069888.9717,NA,,64580768,Červený bod,"Lékárna U zlatého slunce, s.r.o.",Tylova 39,30124,Plzeň,Plzeň-město,Západní Čechy,1999,"Tylova 39, Plzeň 30124",Tylova
-789476.356600001,-1156931.746,100,"Vodňanská 51, Prachatice 38301",26230071,Dr.Max,Dr.Max LÉKÁRNA,Vodňanská 51,38301,Prachatice,,,2015,"Vodňanská 51, Prachatice 38301",Vodňanská
-789578.6666,-1156987.1269,100,"Vodňanská , Prachatice 38301",60097507,,Lékárna U Bílého Lva,Vodňanská ,38301,Prachatice,Prachatice,Jižní Čechy,1999,"Vodňanská , Prachatice 38301",Vodňanská
-742312.997099999,-1042612.0003,100,"Revoluční 765, Praha 11000",26230071,Dr.Max,Dr.Max LÉKÁRNA,Revoluční 765/19,11000,Praha 1,,,2015,"Revoluční 765, Praha 11000",Revoluční
-742313.809599999,-1042611.6552,NA,,25672681,,"Lékárna Real Pharma, s.r.o.",Revoluční 19,11593,Praha 1,Praha 1,Hl.m.Praha,1999,"Revoluční 19, Praha 11593",Revoluční
-737911.928599998,-1047208.4734,100,"Jabloňová 2992, Praha 10600",49621173,BENU,BENU Lékárna,Jabloňová 2992/8,10600,Praha 10,,,2015,"Jabloňová 2992, Praha 10600",Jabloňová
-737911.928599998,-1047208.4734,100,"Jabloňová 2992, Praha 10600",62415506,,"REAL - JEKO, s.r.o., Lékárna Jabloňová",Jabloňová 2992,10600,Praha 10,Praha 10,Hl.m.Praha,1999,"Jabloňová 2992, Praha 10600",Jabloňová
