X,Y,Score,Match_addr,ICO,ZNACKA,NAZEV,ULICE,PSC,MESTO,OKRES,KRAJ,rok,addr
-742855.99960000068,-1043502.001600001,96.25,"Národní 365, Praha 11000",49280058,,Lékárna U zlatého hada,Národní 35,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Národní 35, Praha 11000"
-742152.8099999987,-1043671.8213,100,"Opletalova 30, Praha 11000",60166177,,Lékárna Opletalova,Opletalova 30,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Opletalova 30, Praha 11000"
-742483.80939999968,-1043370.7412,100,"Panská 4, Praha 11000",16477481,,Lékárna Černá růže,Panská 4,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Panská 4, Praha 11000"
-745024.2445,-1042661.6253000014,100,"Pohořelec 25, Praha 11800",63980533,,"Lékárna Na Hradčanech, TETRAFOLIUM",Pohořelec 25,11800,Praha 1,Praha 1,Hl.m.Praha,1999,"Pohořelec 25, Praha 11800"
-743047.91530000046,-1043596.8757999986,98.13,"Spálená 112, Praha 11000",49626434,,Lékárna Ve Spálené,Spálená 12,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Spálená 12, Praha 11000"
-741684.99969999865,-1042756.0,100,"Těšnov 5, Praha 11000",49688596,INPHARMA,"INPHARMA, s.r.o.",Těšnov 5,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Těšnov 5, Praha 11000"
-742345.99430000037,-1043979.7556000017,100,"Václavské náměstí 64, Praha 11000",25727931,,"Lékárna U koně, HEALTH CONSULT, s.r.o.",Václavské náměstí 64,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Václavské náměstí 64, Praha 11000"
-742672.99980000034,-1043473.0042,100,"Václavské náměstí 8, Praha 11000",49618661,,"Adamova lékárna U zlatého noha, s.r.o.",Václavské náměstí 8,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Václavské náměstí 8, Praha 11000"
-742002.51960000023,-1042807.3343999982,100,"Zlatnická 7, Praha 11000",66048192,,Lékárna U zlaté lodi,Zlatnická 7,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Zlatnická 7, Praha 11000"
-743063.99680000171,-1042912.0055,95,"Žatecká 45, Praha 11000",63112701,,Lékárna Žatecká,Žatecká 4,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Žatecká 4, Praha 11000"
-742449.99590000138,-1042775.0009,100,"Rybná 21, Praha 11000",49691996,,"SETRANS, výdejna a prodejna ZT",Rybná 21,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Rybná 21, Praha 11000"
-743047.91530000046,-1043596.8757999986,98.13,"Spálená 112, Praha 11000",16949391,,DVORT s r.o. - zdravotnické potřeby,Spálená 12,11000,Praha 1,Praha 1,Hl.m.Praha,1999,"Spálená 12, Praha 11000"
-741961.53449999914,-1044782.3537999988,96.25,"Belgická 374, Praha 12000",62934759,,Lékárna U sv.Ludmily,Belgická 37,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Belgická 37, Praha 12000"
-742998.99509999901,-1044298.003800001,100,"Ječná 1, Praha 12000",49706888,,"Lékárna IGNACIA, s.r.o.",Ječná 1,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Ječná 1, Praha 12000"
-742256.60590000078,-1044418.3218999989,100,"Jugoslávská 9, Praha 12000",14947129,,Vilímova lékárna,Jugoslávská 9,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Jugoslávská 9, Praha 12000"
-742556.99879999831,-1044842.0047000013,100,"Ke Karlovu 6, Praha 12000",65422180,,Lékárna ARCANA,Ke Karlovu 6,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Ke Karlovu 6, Praha 12000"
-741456.58630000055,-1044579.3607,94,"Korunní 1030, Praha 12000",61064556,,"Lékárna v Korunní - DOMÉNA FKZ, s.r.o.",Korunní 13,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Korunní 13, Praha 12000"
-741821.99839999899,-1044437.0053999983,100,"náměstí Míru 8, Praha 12000",25293117,,"Lékárna u divadla-MEDIAL PHARMA,s.r.o.",Náměstí Míru 8,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Náměstí Míru 8, Praha 12000"
-742410.53790000081,-1045491.5931,96.25,"Oldřichova 187, Praha 12800",48551023,,Lékárna,Oldřichova 18,12800,Praha 2,Praha 2,Hl.m.Praha,1999,"Oldřichova 18, Praha 12800"
-742246.79720000178,-1044621.1622,100,"Rumunská 16, Praha 12000",49384384,,Lékárna,Rumunská 16,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Rumunská 16, Praha 12000"
-742441.996199999,-1044380.0033,100,"Sokolská 35, Praha 12000",48548171,,Lékárna,Sokolská 35,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Sokolská 35, Praha 12000"
-742561.99709999934,-1044364.004,100,"V tůních 1, Praha 12000",49688596,INPHARMA,"INPHARMA, s.r.o.",V Tůních 1,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"V Tůních 1, Praha 12000"
-741877.99610000104,-1044217.002799999,100,"Vinohradská 22, Praha 12000",25071238,,"Vinohradská lékárna, s.r.o.",Vinohradská 22,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Vinohradská 22, Praha 12000"
-742091.99599999934,-1044069.0029999986,100,"Vinohradská 6, Praha 12000",63072114,,"Lékárna nad Muzeem, FEVAC, s.r.o.",Vinohradská 6,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Vinohradská 6, Praha 12000"
-741409.9979000017,-1044360.2038999982,100,"Vinohradská 65, Praha 12000",48134899,,Lékárna U zlatého lva,Vinohradská 65,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Vinohradská 65, Praha 12000"
-741711.84730000049,-1044255.8851,96.25,"Vinohradská 939, Praha 12000",47608781,,Lékárna U krále Jiřího,Vinohradská 99,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Vinohradská 99, Praha 12000"
-743040.9963000007,-1043924.0046,100,"Lazarská 6, Praha 12000",43004351,,"Bristol-Myers Squibb, s.r.o.- PZT",Lazarská 6,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Lazarská 6, Praha 12000"
-742441.996199999,-1044380.0033,100,"Sokolská 35, Praha 12000",43896251,,Výdejna prostředků zdravotn. techniky,Sokolská 35,12000,Praha 2,Praha 2,Hl.m.Praha,1999,"Sokolská 35, Praha 12000"
-740608.10460000113,-1043505.6138,98.13,"Chlumova 221, Praha 13000",61387673,,Lékárna,Chlumova 21,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Chlumova 21, Praha 13000"
-741188.99680000171,-1043449.0051999986,100,"Husinecká 4, Praha 13000",62930877,,Lékárna VIKTORIA,Husinecká 4,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Husinecká 4, Praha 13000"
-741115.99540000036,-1043324.0001000017,100,"Husitská 36, Praha 13000",62411080,,SAINT JOSEPH - lékárma,Husitská 36,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Husitská 36, Praha 13000"
-738847.95439999923,-1043957.0429,95.2,"Jana Želivského 2726, Praha 13000",61382001,,Lékárna NA OHRADĚ,Jana Želivského 22,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Jana Želivského 22, Praha 13000"
-739774.99960000068,-1043227.0056000017,97,"Koněvova 1484, Praha 13000",49627554,,Lékárna Na Vápence,Koněvova 144,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Koněvova 144, Praha 13000"
-738047.99929999933,-1043125.0011,100,"Koněvova 210, Praha 13000",45786887,,Lékárna Na chmelnici,Koněvova 210,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Koněvova 210, Praha 13000"
-740718.52580000088,-1044633.9840000011,96.25,"Korunní 819, Praha 13000",44694652,,Lékárna u Robina,Korunní 89,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Korunní 89, Praha 13000"
-740646.65799999982,-1043890.7901,95.5,"Kubelíkova 1168, Praha 13000",47124733,,Lékárna na Žižkově,Kubelíkova 16,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Kubelíkova 16, Praha 13000"
-739563.9952000007,-1043826.0058000013,100,"Olšanská 7, Praha 13000",64580768,Červený bod,"Lékárna Alvisa, Červený bod, s.r.o.",Olšanská 7,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Olšanská 7, Praha 13000"
-740827.57860000059,-1043603.5539,100,"Seifertova 75, Praha 13000",60436441,,Lékárna U MATKY BOŽÍ,Seifertova 75,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Seifertova 75, Praha 13000"
-740161.99680000171,-1044478.0022,100,"Vinohradská 134, Praha 13000",47124733,,"Lékárna na Floře,S.D.I. spol.s r.o.",Vinohradská 134,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Vinohradská 134, Praha 13000"
-740537.99879999831,-1044457.0045000017,98.5,"Vinohradská 1666, Praha 13000",60449501,,Lékárna,Vinohradská 166,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Vinohradská 166, Praha 13000"
-739033.95549999923,-1044606.942499999,100,"Vinohradská 196, Praha 13000",60469170,,"Lékárna SCARABEUS, s.r.o",Vinohradská 196,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Vinohradská 196, Praha 13000"
-740583.26570000127,-1043817.8944999985,100,"Bořivojova 38, Praha 13000",42533830,,"DENTICO - JETMAR, s.r.o.",Bořivojova 38,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Bořivojova 38, Praha 13000"
-740514.21709999815,-1044632.932599999,100,"Kolínská 3, Praha 13000",10138439,,SYMED,Kolínská 3,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Kolínská 3, Praha 13000"
-739563.9952000007,-1043826.0058000013,100,"Olšanská 7, Praha 13000",25135279,,"ORTOTIKA, s.r.o.",Olšanská 7,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Olšanská 7, Praha 13000"
-740628.59710000083,-1044062.1428,100,"Ondříčkova 40, Praha 13000",14890232,,DSD spol.s r.o.,Ondříčkova 40,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Ondříčkova 40, Praha 13000"
-740396.99439999834,-1044465.0042,97,"Vinohradská 1756, Praha 13000",13252275,,Mediana - zdravotnické potřeby,Vinohradská 156,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Vinohradská 156, Praha 13000"
-740946.27560000122,-1044442.925799999,100,"Vinohradská 60, Praha 13000",43004351,,"Bristol-Myers Squibb, s.r.o.- PZT",Vinohradská 60,13000,Praha 3,Praha 3,Hl.m.Praha,1999,"Vinohradská 60, Praha 13000"
-736019.99529999867,-1050018.001499999,100,"Anny Drabíkové 534, Praha 14900",40776328,,Lékárna LUNA,Anny Drabíkové 534,14900,Praha 11,Praha 4,Hl.m.Praha,1999,"Anny Drabíkové 534, Praha 14900"
-737548.10810000077,-1049482.9811,100,"Donovalská 2222, Praha 14900",49281186,,Lékárna,Donovalská 2222,14900,Praha 11,Praha 4,Hl.m.Praha,1999,"Donovalská 2222, Praha 14900"
-738791.22839999944,-1050205.171399999,100,"Hráského 2231, Praha 14800",64588823,,Lékárna Vladimírka,Hráského 2231,14800,Praha 11,Praha 4,Hl.m.Praha,1999,"Hráského 2231, Praha 14800"
-736689.87649999931,-1050074.0520000011,100,"Hviezdoslavova 1600, Praha 14900",63828375,,Lékárna Litochleby,Hviezdoslavova 1600,14900,Praha 11,Praha 4,Hl.m.Praha,1999,"Hviezdoslavova 1600, Praha 14900"
-737353.57880000025,-1049104.4417,100,"Majerského 2034, Praha 14900",61064203,,"Altius, s.r.o.-lékárna",Majerského 2034,14900,Praha 11,Praha 4,Hl.m.Praha,1999,"Majerského 2034, Praha 14900"
-736888.06500000134,-1050724.6506000012,100,"Opatovská 1763, Praha 14900",63831953,,Lékárna Opatovská,Opatovská 1763,14900,Praha 11,Praha 4,Hl.m.Praha,1999,"Opatovská 1763, Praha 14900"
-735912.5989000015,-1050276.9452,100,"Opatovská 874, Praha 14900",61501778,,Lékárna metro Háje,Opatovská 874,14900,Praha 11,Praha 4,Hl.m.Praha,1999,"Opatovská 874, Praha 14900"
-738073.8191,-1049810.4036,100,"Starochodovská 684, Praha 14900",69021571,,Lékárna Starochodovská,Starochodovská 684,14900,Praha 11,Praha 4,Hl.m.Praha,1999,"Starochodovská 684, Praha 14900"
-738863.56610000134,-1050255.9006000012,100,"Šustova 1930, Praha 14800",48548171,,Lékárna Šustova,Šustova 1930,14800,Praha 11,Praha 4,Hl.m.Praha,1999,"Šustova 1930, Praha 14800"
-739361.61879999936,-1051645.7049,100,"K Borovíčku 470, Praha 14800",49625471,,Lékárna U Krále Václava,K Borovičku 470,14800,Praha 12,Praha 4,Hl.m.Praha,1999,"K Borovičku 470, Praha 14800"
-744562.3488,-1051943.683699999,100,"Soukalova 3355, Praha 14300",25105931,,"Lékárna u Pelikána, s.r.o.",Soukalova 3355,14300,Praha 12,Praha 4,Hl.m.Praha,1999,"Soukalova 3355, Praha 14300"
-742932.61899999902,-1051113.075,100,"Zárubova 499, Praha 14200",61385956,,Lékárna,Zárubova 499,14200,Praha 12,Praha 4,Hl.m.Praha,1999,"Zárubova 499, Praha 14200"
-741718.99540000036,-1045768.0045000017,100,"Čestmírova 1, Praha 14000",60432209,,Lékárna U ZLATÉ KORUNY,Čestmírova 1,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Čestmírova 1, Praha 14000"
-742429.9967,-1047127.0025000013,100,"Hvězdova 1601, Praha 14000",25094467,,Lékárna Hvězdova,Hvězdova 1601,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Hvězdova 1601, Praha 14000"
-742048.9963000007,-1048189.0025000013,100,"Krčská 1079, Praha 14000",15077799,,Krčská lékárna,Krčská 1079,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Krčská 1079, Praha 14000"
-742545.03449999914,-1046290.3616999984,98.5,"Na Pankráci 999, Praha 14000",63111268,,Lékárna U Svatého Pankráce,Na Pankráci 99,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Na Pankráci 99, Praha 14000"
-742545.03449999914,-1046290.3616999984,100,"Na Pankráci 999, Praha 14000",61852171,,"MEDIANA, s.r.o. lékárna",Na Pankráci 999,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Na Pankráci 999, Praha 14000"
-744318.21790000051,-1048750.6356,100,"Nad malým mýtem 1747, Praha 14700",60433965,,Lékárna U Lidušky,Nad malým mýtem 1747,14700,Praha 4,Praha 4,Hl.m.Praha,1999,"Nad malým mýtem 1747, Praha 14700"
-742791.27980000153,-1050075.2619999982,100,"Novodvorská 434, Praha 14200",62382187,,Lékárna Novodvorská,Novodvorská 434,14200,Praha 4,Praha 4,Hl.m.Praha,1999,"Novodvorská 434, Praha 14200"
-741056.99639999866,-1048237.000500001,100,"Počátecká 584, Praha 14000",60485213,,Lékárna Michle,Počátecká 584,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Počátecká 584, Praha 14000"
-742951.01469999924,-1048267.5425,100,"Roškotova 1225, Praha 14000",25098047,,"Betafarma s.r.o., lékárna Na Zel.pruhu",Roškotova 1225,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Roškotova 1225, Praha 14000"
-742041.73669999838,-1046026.4019999988,96.25,"Táborská 598, Praha 14000",62424882,,Lékárna U SVATÉ ANNY,Táborská 59,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Táborská 59, Praha 14000"
-741444.42819999903,-1050586.1306000017,100,"Tajovského 1310, Praha 14200",63839954,,Lékárna Naděje,Tajovského 1310,14200,Praha 4,Praha 4,Hl.m.Praha,1999,"Tajovského 1310, Praha 14200"
-740826.33929999918,-1050546.243900001,100,"Vídeňská 1958, Praha 14000",00023001,,Ústavní lékárna IKEM,Vídeňská 1958,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Vídeňská 1958, Praha 14000"
-743703.10689999908,-1049889.5428000018,100,"Údolní 316, Praha 14200",60433965,,Lékárna Údolní,Údolní 316,14200,Praha 4,Praha 4,Hl.m.Praha,1999,"Údolní 316, Praha 14200"
-740921.7949000001,-1050916.2901999988,100,"Šípková 1838, Praha 14200",62908561,,"MEDISTYL D, s.r.o.lékárna",Šípková 1838,14200,Praha 4,Praha 4,Hl.m.Praha,1999,"Šípková 1838, Praha 14200"
-741497.76520000026,-1046054.1541999988,100,"Nuselská 42, Praha 14000",45728712,,Výdejna prostředků zdravot. techniky,Nuselská 42,14000,Praha 4,Praha 4,Hl.m.Praha,1999,"Nuselská 42, Praha 14000"
-749832.06850000098,-1046915.6103999987,100,"Archeologická 2256, Praha 15500",61382868,,Lékárna Lužiny,Archeologická 2256,15500,Praha 13,Praha 5,Hl.m.Praha,1999,"Archeologická 2256, Praha 15500"
-750978.9989,-1046515.0044,100,"Hostinského 1533, Praha 15500",63111560,,Lékárna Stodůlky,Hostinského 1533,15500,Praha 13,Praha 5,Hl.m.Praha,1999,"Hostinského 1533, Praha 15500"
-749161.7762000002,-1047910.112399999,100,"Janského 2254, Praha 15500",60435313,,Lékárna U sv.Prokopa,Jánského 2254,15500,Praha 13,Praha 5,Hl.m.Praha,1999,"Jánského 2254, Praha 15500"
-744406.99549999833,-1044273.0,100,"Kartouzská 6, Praha 15000",61499480,,"Lékárna HAŠVA, s.r.o.",Kartouzská 6,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Kartouzská 6, Praha 15000"
-744409.99680000171,-1045681.0007999986,100,"Ke Koulce 7, Praha 15000",49708643,,Lékárna VIVO v.o.s.,Ke Koulce 7,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Ke Koulce 7, Praha 15000"
-744563.99920000136,-1044868.0007,100,"Kováků 3, Praha 15000",25137298,,"Lékárna Nad Knížecí, N+S PHARM, s.r.o.",Kováků 3,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Kováků 3, Praha 15000"
-746740.9956,-1044460.0,100,"Musílkova 1, Praha 15000",25616862,,"Lékárna MELISSA Košíře, s.r.o.",Musílkova 1,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Musílkova 1, Praha 15000"
-745355.18519999832,-1044907.0945000015,100,"Na Cihlářce 6, Praha 15000",49628488,,Lékárna Na Cihlářce,Na Cihlářce 6,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Na Cihlářce 6, Praha 15000"
-745308.996199999,-1044429.0057,100,"Plzeňská 193, Praha 15000",47123681,,Lékárna U Zvonu,Plzeňská 193,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Plzeňská 193, Praha 15000"
-744030.79960000142,-1043564.3836999983,100,"Vítězná 13, Praha 15000",60487798,,Lékárna Na Újezdě,Vítězná 13,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Vítězná 13, Praha 15000"
-744151.94579999894,-1043933.7956999987,100,"Štefánikova 48, Praha 15000",46351655,,Lékárna Na Smíchově,Štefánikova 48,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Štefánikova 48, Praha 15000"
-744184.40850000083,-1043906.895199999,100,"Štefánikova 6, Praha 15000",43657176,,Lékárna U Anděla,Štefánikova 6,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Štefánikova 6, Praha 15000"
-746916.99410000071,-1048543.0025000013,100,"Krškova 807, Praha 15200",62415506,,"REAL - JEKO, s.r.o., Lékárna Barrandov",Krškova 807,15200,Praha 5 Barrandov,Praha 5,Hl.m.Praha,1999,"Krškova 807, Praha 15200"
-747443.06920000166,-1048844.4525,100,"Voskovcova 1035, Praha 15200",43942148,,Lékárna MODERN PHARMACY,Voskovcova 1035,15200,Praha 5 Barrandov,Praha 5,Hl.m.Praha,1999,"Voskovcova 1035, Praha 15200"
-748522.566300001,-1053840.7738999985,100,"Nýřanská 1, Praha 15300",45845034,,Lékárna Radotín,Nýřanská 1,15300,Praha 5 Radotín,Praha 5,Hl.m.Praha,1999,"Nýřanská 1, Praha 15300"
-749202.996199999,-1054174.9743999988,100,"Sídliště 1100, Praha 15300",47569841,,Lékárna ADONIA,Sídliště 1100,15300,Praha 5 Radotín,Praha 5,Hl.m.Praha,1999,"Sídliště 1100, Praha 15300"
-746471.95529999956,-1055157.8647,100,"U lékárny 598, Praha 15600",64580768,Červený bod,"Lékárna U školy, Červený bod, s.r.o.",U lékárny 598,15600,Praha 5 Zbraslav,Praha 5,Hl.m.Praha,1999,"U lékárny 598, Praha 15600"
-746546.11969999969,-1054993.7245999984,100,"Zbraslavské náměstí 457, Praha 15600",47569956,,Lékárna,Zbraslavské náměstí 457,15600,Praha 5 Zbraslav,Praha 5,Hl.m.Praha,1999,"Zbraslavské náměstí 457, Praha 15600"
-751590.39790000021,-1048044.1508999988,100,"Ořešská 104, Praha 15500",61279439,,Lékárna Řeporyje,Ořešská 104,15500,Praha 5 Řeporyje,Praha 5,Hl.m.Praha,1999,"Ořešská 104, Praha 15500"
-744078.815200001,-1043916.4512999989,100,"Elišky Peškové 10, Praha 15000",48052426,,Direct Trading International,Elišky Peškové 10,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Elišky Peškové 10, Praha 15000"
-744406.99549999833,-1044273.0,100,"Kartouzská 6, Praha 15000",66003229,,Medical Market,Kartouzská 6,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Kartouzská 6, Praha 15000"
-744092.50629999861,-1044549.7936999984,96.25,"Lidická 378, Praha 15000",49342673,,Prodejna zdravotnických potřeb,Lidická 38,15000,Praha 5,Praha 5,Hl.m.Praha,1999,"Lidická 38, Praha 15000"
-749483.7599,-1043380.1917,96.25,"Bělohorská 541, Praha 16900",49247468,,Břevnovská lékárna,Bělohorská 54,16900,Praha 6,Praha 6,Hl.m.Praha,1999,"Bělohorská 54, Praha 16900"
-744187.99720000103,-1041601.0055,96.25,"Dejvická 298, Praha 16000",49357476,,"Dejvická lékárna ARNIKA, s.r.o.",Dejvická 29,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Dejvická 29, Praha 16000"
-746004.62669999897,-1041218.3312,98.13,"Evropská 555, Praha 16000",48579092,,"PHARMEDOL, s.r.o.",Evropská 55,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Evropská 55, Praha 16000"
-744386.48530000076,-1040862.6103,100,"Jugoslávských partyzánů 20, Praha 16000",49231952,,Lékárna Bubeneč,Jugoslávských partyzánů 20,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Jugoslávských partyzánů 20, Praha 16000"
-747050.99740000069,-1041457.0056000017,100,"K lánu 7, Praha 16000",62553721,,Lékárna,K lánu 7,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"K lánu 7, Praha 16000"
-743925.99929999933,-1041671.0056000017,100,"Mařákova 2, Praha 16000",48585441,,Lékárna Bruska,Mařákova 2,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Mařákova 2, Praha 16000"
-747292.996199999,-1041567.004,97.5,"Na dlouhém lánu 119, Praha 16000",25128973,,PHARMA MARKET s.r.o.,Na dlouhém lánu 11,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Na dlouhém lánu 11, Praha 16000"
-744258.99570000172,-1041381.0029,100,"Na hutích 13, Praha 16000",48585441,,Lékárna U stříbrného orla,Na hutích 13,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Na hutích 13, Praha 16000"
-746601.99989999831,-1042845.0009,95.2,"Pod Marjánkou 1427, Praha 16900",48574368,,Lékárna Pod Marjánkou,Pod Marjánkou 12,16900,Praha 6,Praha 6,Hl.m.Praha,1999,"Pod Marjánkou 12, Praha 16900"
-747268.6389000006,-1042211.9934,94,"Stamicova 2319, Praha 16200",47588004,,Lékárna,Stamicova 21,16200,Praha 6,Praha 6,Hl.m.Praha,1999,"Stamicova 21, Praha 16200"
-744351.9963000007,-1041265.0018999986,100,"Vítězné náměstí 9, Praha 16000",25650378,,"Lékárna KULATÁ, s.r.o.",Vítězné náměstí 9,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Vítězné náměstí 9, Praha 16000"
-744774.9272999987,-1040531.9926000014,94,"Zelená 1749, Praha 16000",61272094,,Lékárna,Zelená 14A,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Zelená 14A, Praha 16000"
-751624.65790000185,-1044304.9639,100,"Socháňova 1220, Praha 16300",61281077,,Lékárna U Jana,Socháňova 1220,16300,Praha 6 Řepy,Praha 6,Hl.m.Praha,1999,"Socháňova 1220, Praha 16300"
-751126.59930000082,-1044024.9930999987,100,"Žufanova 1114, Praha 16300",48575861,,Lékárna Řepy,Žufanova 1114,16300,Praha 6 Řepy,Praha 6,Hl.m.Praha,1999,"Žufanova 1114, Praha 16300"
-743683.17819999903,-1041776.9747,100,"Milady Horákové 64, Praha 16000",18627218,,"ROD,s.r.o., prodejna dentálních potřeb",Milady Horákové 64,16000,Praha 6,Praha 6,Hl.m.Praha,1999,"Milady Horákové 64, Praha 16000"
-740825.22920000181,-1041502.994899999,96.25,"Dělnická 541, Praha 17000",49627554,,Lékárna Na Maninách,Dělnická 54,17000,Praha 7,Praha 7,Hl.m.Praha,1999,"Dělnická 54, Praha 17000"
-741952.85940000042,-1042109.3955999985,97,"Dukelských hrdinů 343, Praha 17000",60165910,,Lékárna Na staré poště,Dukelských hrdinů 33,17000,Praha 7,Praha 7,Hl.m.Praha,1999,"Dukelských hrdinů 33, Praha 17000"
