adresa,znacka_2015,x,zmena,znacka_1999,nazev_1999,nazev_2007,y,nazev_2015,znacka_2007
"17. listopadu 388, Police nad Metují 54954",,-608505.1845999993,n,,,,-1010014.4448999986,Lékárna na středisku,
"17. listopadu 641, Ostrava - Poruba 70800",,-479292.7507000007,n,,,,-1101721.9167999998,Lékárna PORUBA,
"17. listopadu 725, Ústí nad Orlicí 56201",,-603813.6612000018,n,,,,-1073006.2402999997,Lékárna U Perly,
"17. listopadu 861, Jičín 50601",,-671747.2545000017,n,,,Lékárna ALFA,-1013372.5434999987,Lékárna Alena Mydlářová s.r.o.,
"2. května 757, Nymburk 28802",,-697637.6871999986,n,,Lékárna,Lékárna,-1037603.2448000014,Lékárna 2. května,
"26. dubna 583, Cheb 35002",BENU,-888201.6594999991,n,,,,-1022291.1633000001,BENU Lékárna,
"28. října 100, Ostrava - Moravská Ostrava 70200",,-470978.70160000026,n,,,,-1101996.5982000008,U Jednorožce,
"28. října 1000, Turnov 51101",Dr.Max,-682726.6169999987,y,,,"Lékárna Turnov, s.r.o.",-994729.7045000009,Dr.Max LÉKÁRNA,
"28. října 155, Ostrava - Mariánské Hory 70900",,-472041.8839999996,n,,,,-1102212.0969000012,Primula,
"28. října 205, Ostrava - Mariánské Hory 70900",,-472513.4539999999,n,,,,-1102263.047600001,Mariánskohorská lékárna,
"28. října 3004, Česká Lípa 47006",,-724936.7369999997,n,,,,-977797.5434000008,Lékárna Špičák,
"28. října 65, Ostrava - Moravská Ostrava 70200",Dr.Max,-470215.67339999974,n,,,,-1101884.378800001,Dr.Max LÉKÁRNA,
"28. října 892, Jeseník 79001",,-543374.1651999988,n,,Lékárna U Divadla,Lékárna U Divadla,-1051242.7729999982,Lékárna U divadla,
"28.října 459, Suchdol nad Lužnicí 37806",,-727859.9990000017,n,,,,-1179375.9956,"Lékárna U Panny Marie Pomocné, s.r.o.",
"3. května 1170, Zlín-Malenovice 76302",Dr.Max,-528142.5799000002,n,,,,-1166909.3614999987,Dr.Max LÉKÁRNA,
"3. května 421, Semily 51331",,-669647.4957000017,n,,,,-995408.0485999994,Lékárna Nemocnice v Semilech,
"5. května 484, Česká Kamenice 40721",,-732614.374499999,n,,,,-964058.1425999999,Lékárna VIA,
"5. května 6, Litoměřice 41201",,-756366.6755999997,n,,Lékárna Bílá růže,Lékárna Bílá růže,-990850.6347999983,Bílá růže,
"5. května 721, Nový Jičín 74101",BENU,-492517.8841000013,n,,,,-1126355.986299999,BENU Lékárna,
"5.května 47, Pchery 27308",,-762799.6480999999,n,,,,-1028372.8200000003,OOVL - L 203-02,
"6. května 1376, Kojetín 75201",,-546167.6821999997,n,,,Lékárna U Zlatého lva,-1149026.3059,Lékárna U zlatého lva,
"6. května 47, Bystřice pod Hostýnem 76861",Dr.Max,-518823.8531000018,n,,,,-1146044.2093000002,Dr.Max LÉKÁRNA,
"6. května 556, Bystřice pod Hostýnem 76861",,-518860.5505999997,n,,"Lékárna Salvia, s.r.o.",Lékárna Salvia s.r.o.,-1146040.6383000016,Lékárna SALVIA,
"8. května 7, Lovosice 41002",,-762213.1218999997,n,,,Lékárna U Aeskulapa,-992532.6094000004,U Aeskulapa,
"8. května 782, Velká Bystřice 78353",,-539058.0036000013,n,,,Lékárna Velká Bystřice,-1122176.124499999,Lékárna Velká Bystřice,
"8. pěšího pluku 2450, Frýdek - Místek 73801",,-468007.7346000001,n,,,,-1119462.6633000001,Lékárna Sagena s.r.o.,
"8. pěšího pluku 85, Frýdek - Místek 73802",,-467833.7313000001,n,,,,-1119464.353599999,Lékárna MEDICA,
"8.května 465, Olomouc 77900",BENU,-547204.4615000002,n,,,,-1121301.9052000009,BENU Lékárna,
"8.května 515, Olomouc 77200",Dr.Max,-547248.9208000004,n,,,,-1121268.7710000016,Dr.Max LÉKÁRNA,
"9. května 1197, Bohumín 73581",Dr.Max,-465141.2809999995,n,,,,-1094917.1141999997,Dr.Max LÉKÁRNA,
"9. května 240, Dlouhá Loučka 78386",,-548690.8770000003,n,,,Lékárna - OOVL,-1096158.4726999998,OOVL - Lékárny,
"9. května 403, Štětí 41108",,-740465.9547999986,n,,,"Podřipská NsP Roudnice n.L., s.r.o., Lékárna",-1002080.8827,Lékárna PNsP Štětí,
"9.května 10, Rumburk 40801",,-720193.2987000011,n,,,,-949027.0196000002,Lékárna U Jelena,
"9.května 9, Zbýšov 66411",,-617702.0249000005,n,,,,-1162497.0599000007,Lékárna Levandule,
"A. Bejdové 1810, Ostrava - Poruba 70800",,-478763.1539000012,n,,,,-1099893.4156000018,Lékárna Na Osmém,
"A. Gavlase 262, Ostrava - Dubina 70030",,-473192.9041999988,n,,,,-1107877.2355000004,Akácie,
"A.Barcala 1461, České Budějovice 37005",,-758364.3918000013,n,,,,-1164790.7685000002,Luna,
"A.Drabíkové 534, Praha 14900",Dr.Max,-736019.4593000002,n,,,,-1050017.7314999998,Dr.Max LÉKÁRNA,
"Alej 17. listopadu 1101, Roudnice nad Labem 41301",,-749794.2844999991,n,,,"Podřipská NsP Roudnice n.L., s.r.o., Ústavní lékárna",-1004362.7732999995,Podřipská nemocnice s poliklinikou - Lékárna,
"Alej 17.listopadu 2720, Roudnice nad Labem 41301",BENU,-750641.5269000009,n,,,,-1004111.0421999991,BENU Lékárna,
"Alej Svobody 55, Plzeň 32300",Devětsil JST,-822429.9970000014,n,,,,-1067445.0025999993,Lékárna Devětsil u Gery,
"Alej Svobody 80, Plzeň 30460",,-821963.2897000015,n,,,,-1068095.8508000001,"Ústavní lékárna FN-Plzeň, Lochotín",
"Alej Svobody 882, Plzeň 32318",Plzeňská lékárna,-822569.7267000005,n,,,,-1067506.6116000004,Lipová lékárna,
"Alešova 591, Bohumín 73581",,-464730.5549999997,n,,,,-1094773.267000001,Lékárna U Anděla strážce,
"Aloise Mareše 180, Mladá Vožice 39143",,-723489.3784999996,n,,,,-1107995.2441999987,OOVL - L Nemocnice,
"Alšovo náměstí 692, Ostrava - Poruba 70800",,-478744.62790000066,n,,,,-1101423.2972000018,Lékárna Flora,
"Alšovo náměstí 74, Písek 39701",Dr.Max,-774201.0443000011,n,,,,-1126186.2111999989,Dr.Max LÉKÁRNA,
"Alžbětín 22, Železná Ruda 34004",BENU,-844744.7864000015,n,,,,-1136296.2208999991,BENU Lékárna,
"Americká 11, Plzeň 30150",BENU,-822710.6583999991,n,,,,-1070052.6700999998,BENU Lékárna,
"Americká 2777, OC Tesco, Kladno 27201",BENU,-764482.0100999996,n,,,,-1033292.7685000002,BENU Lékárna,
"Americká 518, Františkovy Lázně 35101",,-888851.9349999987,n,,,,-1016865.7025999986,Lékárna CENTRUM,
"Americká 8, Františkovy Lázně 35101",,-889101.6163000017,n,,,,-1015943.6204000004,Lékárna,
"Americká ul. 636, Blovice 33601",,-813603.3273999989,n,,,,-1089489.1523000002,BETULA,
"Americké armády 74, Sušice 34201",,-820889.7848999985,n,,Lékárna Galenos,Lékárna Galenos,-1128079.7269000001,Galenos,
"Anenská 25, Prostějov 79601",,-560109.9114999995,n,,,,-1134126.4246999994,Lékárna U Sv. Anny,
"Antala Staška 1670, Praha 14000",,-741443.3475000001,n,,,,-1048239.9019999988,Pharmacentrum Budějovická,
"Antonína Dvořáka 320, Turnov 51101",,-683573.2897000015,n,,,"Lékárna Pod Radnicí, s.r.o.",-994927.7520999983,Pod Radnicí,
"Antonína Kaliny 90, Kolín V 28000",,-688067.3735999987,n,,,,-1056619.4932000004,Zálabská lékárna,
"Antonína Slavíčka 892, Svitavy 56802",Dr.Max,-600794.4208000004,y,,,"BRL Center CZ s.r.o., A lékárna v Kauflandu",-1098059.1865000017,Dr.Max LÉKÁRNA,BRL Center CZ
"Antonínovo náměstí 92, Frýdek - Místek 73801",Dr.Max,-467855.6152999997,n,,,,-1119613.8209000006,Dr.Max LÉKÁRNA,
"Archeologická 2256, Praha 15500",BENU,-749832.068500001,y,,Lékárna Lužiny,Lékárna Lužiny,-1046915.6103999987,BENU Lékárna,
"Areál Škoda Auto, a.s., Mladá Boleslav 29301",,-703548.8288000003,n,,,,-1011704.8022999987,Lékárna,
"Arkalycká 757, Praha 14900",,-735993.5353000015,n,,,,-1050207.1449000016,Lékárna,
"Arménská ul., OC Oáza, Kladno 27201",Dr.Max,-764482.0100999996,n,,,,-1033292.7685000002,Dr.Max LÉKÁRNA,
"B. Němcové 282, Slavkov u Brna 68401",,-579150.2848000005,n,,,,-1167609.5291999988,Lékárna na náměstí,
"B. Němcové 44, Kralovice 33141",,-810693.9871000014,n,,,,-1045120.2437000014,Lékárna ARNIKA,
"B. Němcové 486, Jaroměř 55101",,-632918.3449000008,n,,,,-1027441.7292000018,Na Ptákách,
"B. Němcové 496, Děčín 40502",BENU,-746622.2274000011,n,,,,-964722.2707000002,BENU Lékárna,
"B. Němcové 738, Náchod 54701",,-615096.7648999989,n,,,,-1022627.3084999993,Nemocniční lékárna Náchod,
"B. Smetany 139, Plzeň 30100",Dr.Max,-822500.8112000003,n,,,,-1069821.4349000007,Dr.Max LÉKÁRNA,
"B.Němcové 1489, České Budějovice 37001",Dr.Max,-756277.7454000004,n,,,,-1167581.4598999992,Dr.Max LÉKÁRNA,
"B.Němcové 542, Dačice 38001",,-685199.9651999995,n,,,,-1163109.1460999995,Lékárna Na Červeném vrchu,
"B.Němcové 585, České Budějovice 37087",,-756396.5377000012,n,,,,-1167621.5366000012,Lékárna Nemocnice,
"B.Němcové 610, České Budějovice 37007",,-756379.5958999991,n,,,,-1167747.5973000005,LÉKÁRNA PŘED ŠPITÁLEM,
"B.Němcové 960, Rokycany 33701",,-807208.0450999998,n,,,,-1073390.931499999,U Tří slunečnic,
"Babice 112, Babice 68703",,-536112.9800000004,n,,,,-1175295.4946999997,Lékárna Babice,
"Babická 507, Zastávka u Brna 66484",,-616096.4965999983,n,,,,-1159747.9930999987,Lékárna,
"Bachmačská 2474, Ostrava - Moravská Ostrava 70200",BENU,-470257.9646999985,n,,,,-1100464.734099999,BENU Lékárna,
"Barvičova 53, Brno 60200",,-600162.1827000007,n,,,Lékárna Barvičova,-1160146.8960000016,Lékárna Barvičova,
"Barákova 237, Říčany 25101",BENU,-727268.7752999999,n,,,,-1055111.4525000006,BENU Lékárna,
"Bayerova 51, Rožnov pod Radhoštěm 75661",,-484307.23490000144,n,,Lékárna,Lékárna,-1142593.4684999995,Lékárna,
"Baška 420, Baška 73901",,-466152.03440000117,n,,,,-1123240.9952999987,Mruzkova lékárna,
"Bašty 413, Brno 60200",Dr.Max,-598016.2511,n,,,,-1161221.6766999997,Dr.Max LÉKÁRNA,
"Bechyňova 2744, Praha 16000",,-744846.4250999987,n,,,,-1040577.1713999994,Lékárna Na Santince,
"Bechyňovo nám. 2, Přibyslav 58222",,-656110.4750000015,n,,,,-1111406.4268000014,Lékárna Přibyslav,
"Bechyňská 63, Praha 19900",,-735460.0654999986,n,,Lékárna Letňany,Lékárna Letňany,-1038458.381099999,Lékárna Letňany,
"Bednaříkova 2893, Brno 62800",Dr.Max,-592272.9004999995,n,,,,-1159827.3674000017,Dr.Max LÉKÁRNA,
"Bedřichov 22, Špindlerův Mlýn 54351",,-649752.8531999998,n,,,,-982649.1539999992,OOVL - L Devětsil,
"Beethovenova 597, Ústí n. Labem 40001",,-762283.3493000008,n,,,,-974828.1840999983,Hvězda,
"Belgická 37, Praha 12000",,-741961.5344999991,n,,Lékárna U sv.Ludmily,Lékárna U Sv. Ludmily,-1044782.3537999988,U sv.Ludmily,
"Beneše z Loun 185, Louny 44001",,-782827.2351999991,n,,"Pharma, s.r.o., lékárna","PHARMA, s.r.o., Lékárna U Sv.Mikuláše",-1007049.6039999984,Lékárna U sv. Mikuláše,
"Benešov 122, Benešov u Boskovic 67953",,-582802.4514999986,n,,,,-1127157.1330000013,OOVL - L LEBO ARKLEB,
"Benešova 1000, Kolín 28002",Dr.Max,-689533.9059000015,n,,,"Česká lékárna a.s., Dr. Max Lékárna",-1057472.2531999983,Dr.Max LÉKÁRNA,Dr.Max
"Benešova 26, Jihlava 58601",,-669365.7087000012,n,,Lékárna,"LKF s.r.o., Lékárna Tilia",-1130068.4079999998,TILIA,
"Benešova 511, Stříbro 34901",BENU,-849143.5144999996,y,,Lékárna,"Inula s.r.o., Lékárna Na Poliklinice",-1064889.4551,BENU Lékárna,
"Benešovo nám. 257, Křižanov 59451",,-631848.3751999997,n,,,,-1135311.6070000008,Lékárna TILIA,
"Benešovo nám. 424, Teplice 41501",,-776015.9481999986,n,,,,-975977.4789000005,Centrum,
"Benátky 672, Kardašova Řečice 37821",,-725404.0480000004,n,,Lékárna,Lékárna Benátky,-1146815.0848000012,Benátky,
"Berounská 23, Budišov nad Budišovkou 74787",,-517949.3519000001,n,,Lékárna,Lékárna,-1101764.0489999987,Lékárna,
"Bezděkovská 186, Strakonice II 38601",Dr.Max,-792299.3192000017,n,,,,-1129404.3200999983,Dr.Max LÉKÁRNA,
"Bezděkovská 349, Bělá nad Radbuzou 34526",,-872321.4959000014,n,,Lékárna Radbuza,Lékárna Radbuza,-1079292.9987000003,Radbuza,
"Bezděkovská 65, Strakonice 38601",,-792493.5295000002,n,,Lékárna U Otavy,"T H O W T, s.r.o., Lékárna U Otavy",-1129260.4061999992,U Otavy,
"Bezručova 10, Karlovy Vary 36001",,-849617.3275000006,n,,Zdravotnické potřeby,Zdravotnické potřeby,-1010853.2705999985,SALVUS,
"Bezručova 150, Bohumín 73581",,-464591.2655999996,n,,,Lékárna Melissa,-1095295.1484000012,Lékárna Melissa,
"Bezručova 19, Karlovy Vary 36001",,-849659.9160000011,n,,Ústavní lékárna,,-1010998.4805000015,Ústavní lékárna,
"Bezručova 2144, Zábřeh na Moravě 78901",,-574279.1257999986,n,,,,-1085996.9107000008,Lékárna Zdraví Zábřeh,
"Bezručova 3630, Mělník 27601",Dr.Max,-734644.2811999992,n,,,,-1014060.6666000001,Dr.Max LÉKÁRNA,
"Bezručova 413, Nový Jičín 74101",,-492247.1405000016,n,,,,-1126649.8772,Mendelova lékárna s.r.o.,
"Bezručova 790, Děčín 40502",,-747992.5676999986,n,,,Lékárna Damona,-965209.3900000006,DAMONA,
"Bečov č.p. 17, Bečov u Mostu 43526",Dr.Max,-787041.8262000009,n,,,,-996220.2850000001,Dr.Max LÉKÁRNA,
"Bečváry 185, Bečváry 28143",,-697815.1490999982,n,,,,-1063511.0395999998,OOVL - L Lékárna U modrého ráčka,
"Blanenská 982, Kuřim 66434",,-602065.9745000005,n,,Lékárna,Lékárna,-1147433.3852000013,Lékárna Na poliklinice,
"Blanická 1068, Ostrava - Stará Bělá 72400",,-474495.8354000002,n,,,,-1109260.139800001,Lékárna U svatého Jana,
"Blanická 327, Čechtice 25765",,-705020.4353,n,,Lékárna - Veronika,Lékárna Veronika,-1100022.6292999983,Lékárna Mariánská,
"Blatenská 322, Horažďovice 34101",,-805755.305399999,n,,,,-1119937.3685999997,Lékárna Panacea,
"Blížkovice 131, Blížkovice 67155",,-656384.7773999982,n,,,,-1176044.9849999994,OOVL - Blížkovice,
"Bobrová 309, Bobrová 59255",,-630138.5623000003,n,,,,-1125811.5416,OOVL - L U SALVÁTORA,
"Bohosudovská 1882, Teplice 41501",Dr.Max,-774376.6070000008,n,,,"Česká lékárna,a.s., Lékárna U Kauflandu",-974688.4622999988,Dr.Max LÉKÁRNA,Dr.Max
"Bohosudovská 472, Krupka 3 41741",,-772605.930300001,n,,,,-972170.1849000007,U Tyrše,
"Bohuslava Martinů 2097, Nový Jičín 74101",Dr.Max,-493190.61510000005,n,,,,-1127465.2545999996,Dr.Max LÉKÁRNA,
"Bohúňova 1550, Praha 14900",,-736636.069600001,n,,,,-1050766.0703000017,Magistra Lékárna Opatov,
"Boleslavská 1854, Nymburk 28802",,-697635.7371999994,n,,,Lékárna Železniční polikliniky,-1037712.5148000009,Lékárna Pharmea Nymburk,
"Boleslavská 31, Stará Boleslav 25001",,-723140.0119999982,n,,,,-1033461.9824000001,Lékárna u sv. Ludmily,
"Borovského 836, Karviná - Ráj 73401",,-450771.40309999883,n,,Lékárna LEMAK,,-1101230.3148000017,Lékárna 6 LEMAK s.r.o.,
"Borská 243, Přimda 34806",,-873815.6248000003,n,,,"TL - Pharma.s.r.o., Lékárna u nemocnice - OOVL",-1069843.2525999993,OOVL - L NA POLIKLINICE,
"Borská 3215, Česká Lípa 47001",BENU,-724997.0751999989,n,,,,-976814.9409999996,BENU Lékárna,
"Boršice 306, Boršice 68709",,-545766.1871000007,n,,,,-1181003.0472999997,Lékárna Boršice,
"Boršická 143, Hluk 68725",,-533679.5012000017,n,,Hlucká apatyka,"Hlucká apatyka, s.r.o.",-1190635.0,HLUCKÁ APATYKA,
"Botanická 61, Brno 60200",,-598779.9257999994,n,,Lékárna NOVA,Lékárna NOVA,-1158867.2545000017,Lékárna NOVA,
"Bozděchova 619, Ostrava - Moravská Ostrava 70200",,-471208.53020000085,n,,,,-1101988.5626999997,Lékárna VESALION,
"Boženy Němcové 1025, Blansko 67801",,-593120.8830999993,n,,,,-1142629.1763000004,Lékárna Pod nemocnicí,
"Boženy Němcové 3914, Jablonec nad Nisou 46604",,-680820.3172000013,n,,,,-978398.5756999999,Lékárna Taurus HM s.r.o.,
"Božetěchova 79, Brno 61200",,-598813.4103999995,n,,,,-1156744.9167000018,LÉKÁRNA U ZLATÉ HUSY,
"Božice 384, Božice 67164",,-625724.5667000003,n,,,,-1198067.3596,OOVL - L U sv. Tadeáše,
"Božkovská 2967, Praha 14100",,-738776.1394000016,n,,,Lékárna SPOŘILOV,-1048345.9415999986,Lékárna na poliklinice Spořilov,
"Branická 79, Praha 14700",,-743931.5379000008,n,,,"M-ART s.r.o., Lékárna Braník",-1048802.333900001,Lékárna Braník,
"Bratří Čapků 1103, Úpice 54232",Dr.Max,-623915.5527999997,n,,,,-1010705.1944999993,Dr.Max LÉKÁRNA,
"Bratří Štefanů 895, Hradec Králové 50003",,-639420.5837000012,n,,"Lékárna Pharmacentrum, s.r.o.","Pharmacentrum s.r.o., Lékárna",-1041750.121199999,PHARMACENTRUM s.r.o.,
"Bratří Šťastných 645, Litomyšl 57001",,-611491.5130000003,n,,,,-1083794.8068000004,Lékárna SANATIO,
"Braškov, Dukelská 51, Unhošť 27351",,-765316.5808000006,n,,,,-1038157.7747999988,OOVL - L Modrá lékárna,
"Brněnec 90, Brněnec 56904",,-598982.124499999,n,,,,-1111910.0001999997,Lékárna Brněnec,
"Brněnská 1, Pohořelice 69123",,-606725.8517000005,n,,Lékárna ARNICA,Lékárna ARNICA ,-1183523.8176999986,Lékárna ARNICA Pohořelice,
"Brněnská 157, Tišnov 66601",,-609649.325100001,n,,,"ZEDPO, s.r.o. Lékárna na Brněnské",-1142524.7958000004,Lékárna na Brněnské,
"Brněnská 214, Slavonice 37881",,-691404.6477000006,n,,Lékárna,Lékárna Slavonice,-1172060.3167000003,Lékárna Slavonice,
"Brněnská 23a, Hradec Králové 50009",BENU,-640255.9439999983,n,,,,-1043687.0100999996,BENU Lékárna,
"Brněnská 27a, Hustopeče 69301",,-592092.1327,n,,Lékárna,Lékárna U sv. Tadeáše,-1189560.3896000013,U sv. Tadeáše,
"Brněnská 2937, Znojmo 66902",,-641864.2650000006,n,,,,-1194913.5243999995,Lékárna U Svaté Anny,
"Brněnská 360, Třebíč 67401",Dr.Max,-649536.310899999,n,,,,-1152750.4979999997,Dr.Max LÉKÁRNA,
"Brněnská 514, Vyškov 68201",BENU,-569405.1911999993,n,,,,-1155122.5053000003,BENU Lékárna,
"Brněnská 54, Jihlava 58624",,-668471.0976999998,n,,,,-1130287.1072999984,Lékárna Psychiatrické nemocnice Jihlava,
"Brněnská 74, Jihlava 58601",Dr.Max,-667749.3997999988,y,,,"Eurolékárna s.r.o., Lékárna",-1130242.327300001,Dr.Max LÉKÁRNA,Eurolékárna
"Brněnská 87, Velké Němčice 69163",,-595725.315299999,n,,,Lékárna Těšany s.r.o.,-1183497.0993000008,OOVL Velké Němčice,
"Brněnská 9, Hustopeče 69301",,-592029.4039999992,n,,Lékárna u Svatého Rocha spol. s r.o.,"Dům zdraví s.r.o., Lékárna",-1189626.4367999993,DŮM ZDRAVÍ,
"Brodek u Konice 328, Brodek u Konice 79846",,-577717.2362000011,n,,,,-1123473.2029,Lékárna Brodek,
"Brodská 496, Příbram V 26101",Dr.Max,-779429.256099999,n,,,,-1085141.9175000004,Dr.Max LÉKÁRNA,
"Brtnická 1, Jihlava 58601",,-668988.438000001,n,,Lékárna Na slunci,Lékárna Na Slunci,-1130794.3748999983,Na Slunci,
"Brázdimská 1000, Brandýs nad Labem 25001",,-724943.5201999992,n,,,,-1034132.8843999989,"Ústavní lékárna, Nemocnice Brandýs nad Labem",
"Bubenské nábřeží 306, Praha 17000",,-740923.9974999987,n,,,,-1042046.0031999983,Lékárna Na Tržnici,
"Bubeníčkova 2688, Brno 61500",Dr.Max,-595862.2380999997,n,,,,-1160325.1543999985,Dr.Max LÉKÁRNA,
"Budišov u Třebíče 355, Budišov u Třebíče 67503",,-640740.1812999994,n,,,,-1147348.4287,Lékárna ARNIKA,
"Budova DLP, Opařany 121 39161",,-747902.7591999993,n,,,,-1119045.2743999995,OOVL - L U Anděla strážce,
"Budovatelská 323, Černá Hora 67921",,-597339.6625000015,n,,,Lékárna Černá Hora,-1136523.4646999985,Lékárna Černá Hora,
"Budovatelů 1877, Most 43401",Dr.Max,-791579.5879999995,y,,"Lékárna Rozkvět - LAMED, s.r.o.","LAMED, s.r.o., Lékárna Rozkvět",-989856.5557000004,Dr.Max LÉKÁRNA,
"Budovatelů 197, Přerov 75002",,-533494.2930999994,n,,,,-1138642.9774000011,LÉKÁRNA SANO,
"Budovatelů 2957, Most 43401",,-791383.5843999982,n,,Lékárna Centrum,Lékárna Centrum,-989152.5614,Centrum,
"Budovatelů 3398, Jablonec nad Nisou 46601",Dr.Max,-681038.7457999997,n,,,,-979829.0009999983,Dr.Max LÉKÁRNA,
"Budovatelů 420, Třemošnice 53843",,-663999.5348000005,n,,Lékárna  U Apolináře,"HERBA s.r.o., Lékárna U Apolináře",-1077600.5755000003,U Apolináře,
"Budyšínská 1400, Liberec 46001",Dr.Max,-687531.3693000004,n,,,,-973172.3608000018,Dr.Max LÉKÁRNA,
"Budínova 1898, Praha 18000",,-739184.4279000014,n,,,,-1040342.8610000014,Lékárna U Brány,
"Budínova 2, Praha 18081",,-739331.5998999998,n,,,,-1040347.0681999996,Nemocniční lékárna Nemocnice Na Bulovce,
"Budějovická 1126, Praha 14000",Dr.Max,-741664.9946999997,n,,,,-1047684.0014000013,Dr.Max LÉKÁRNA,
"Budějovická 1667, Praha 14000",,-741496.6785999984,n,,,,-1048098.304299999,Pharmacentrum DBK,
"Budějovická 2056, Praha 14000",,-740974.3390000015,n,,,,-1048310.1603999995,Lékárna Rodvinovská,
"Budějovická 371, Jesenice 25242",,-737778.806400001,n,,,,-1057302.1339999996,Lékárna Jesenice,
"Budějovická 553, Tábor 39003",,-735129.6904000007,n,,,,-1119973.8674999997,Panacea,
"Budějovická 59, Jesenice 25242",,-738053.4087999985,n,,Lékárna,"MANTA MEDICA s.r.o., Lékárna Cedr",-1057069.6033000015,Lékárna Cedr,
"Budějovická 614, Praha 14021",,-741400.2232000008,n,,,,-1048075.0628000014,Lékárna METRO Kačerov,
"Bukovecká 106, Jablunkov 73991",,-438226.5852999985,n,,,Lékárna Aurum s.r.o.,-1133056.6482000016,Lékárna AURUM,
"Bulharská 6154, Ostrava - Poruba 70800",,-477481.2978999987,n,,,,-1102127.4001000002,Lékárna U Zlatého slunce,
"Burešova 1660, Praha 18000",Dr.Max,-738833.2567999996,n,,,,-1039100.8156999983,Dr.Max LÉKÁRNA,
"Burešova 1664, Praha 18200",,-738770.8297999986,n,,Lékárna Ládví,Lékárna Ládví,-1038982.6647999994,Ládví,
"Burešín 500, Ostrožská Lhota 68723",,-538195.3691000007,n,,,,-1191430.1400999986,OOVL - Lékárny,
"Butovická 328, Studénka 74213",,-488952.02320000157,n,,,Lékárna 411,-1113679.2963000014,411,
"Butovická 365, Studénka 74213",,-488451.63269999996,n,,,,-1114399.3368999995,Lékárna Prima,
"Bystřice 496, Bystřice 73995",,-440895.8590000011,n,,,,-1126245.3988000005,Herba,
"Bílinská 1509, Teplice 41501",,-776701.9965999983,n,,,,-976904.0003999993,PRONATAL PHARMA,
"Bílinská 3490, Ústí n. Labem 40001",Dr.Max,-760770.0302999988,n,,,,-976340.5683999993,Dr.Max LÉKÁRNA,
"Bílkova 1440, Tábor 39002",,-734791.9288000017,n,,,,-1120001.4188,U Sv.Anny,
"Bílkova 270, Poděbrady 29001",Plzeňská lékárna,-694151.2298000008,n,,,,-1044172.5934000015,Lékárna Tesco Poděbrady,
"Bílovice 522, Bílovice 68712",,-531018.3114,n,,,,-1178439.5753000006,LÉKÁRNA U ZÁMKU,
"Bílá 2571, Praha 16000",,-744851.9990000017,n,,,,-1040679.0056000017,Lékárna Studentský dům,
"Býšť 78, Býšť 53322",,-636506.6627000012,n,,,,-1051643.2082999982,Lékárna Býšť,
"Běhounská 15, Brno 60200",,-598075.2853999995,n,,,,-1160672.6363000013,Lékárna TYPOS,
"Běhounská 8, Brno 60200",,-598067.6440000013,n,,,,-1160654.2699999996,Lékárna Běhounská,
